Comparison,log2FoldChange,padj,Gene
SF vs NC,-1.23032531,0.032677668,ST3GAL6
SF vs NC,-1.229079315,0.041088575,PKD2
SF vs NC,-1.228850105,0.013607165,LOC101749148
SF vs NC,-1.227143421,0.01933107,PLXDC1
SF vs NC,-1.226750473,0.020896539,CDCP2
SF vs NC,-1.226490402,0.018958558,KCTD7
SF vs NC,-1.223817696,0.020046598,LOC121111182
SF vs NC,-1.222986047,0.000659096,EDN1
SF vs NC,-1.220645988,0.022074549,LOC121106841
SF vs NC,-1.220449813,0.020509561,LOC107052100
SF vs NC,-1.21829158,0.008468789,FMO4
SF vs NC,-1.217528115,0.041846868,PRICKLE1
SF vs NC,-1.213406064,0.025543035,C1orf186
SF vs NC,-1.2126633,0.000946876,CABLES2
SF vs NC,-1.211277884,0.013946672,SGK2
SF vs NC,-1.209656431,0.013324622,LOC107052071
SF vs NC,-1.20887455,0.018882529,ADD2
SF vs NC,-1.208679437,0.033655279,LOC121113273
SF vs NC,-1.204186448,0.033512793,ESX1
SF vs NC,-1.203988305,0.002724905,MCF2
SF vs NC,-1.203879627,0.000351212,SASH1
SF vs NC,-1.203648998,0.005638836,LOC112532478
SF vs NC,-1.203262041,0.023429857,JAZF1
SF vs NC,-1.202553608,0.026148538,CERKL
SF vs NC,-1.201045436,0.030704538,LOC121109965
SF vs NC,-1.200924008,0.037015685,LRRK2
SF vs NC,-1.199876649,0.047443642,GNG10
SF vs NC,-1.196725814,0.017908813,TSNARE1
SF vs NC,-1.196249074,0.028510738,LOC101752077
SF vs NC,-1.194806135,0.033029321,NT5E
SF vs NC,-1.19378106,0.006697142,LOC121107764
SF vs NC,-1.193615058,0.037015685,LOC121106849
SF vs NC,-1.193380022,0.000823553,LOC107051906
SF vs NC,-1.190115657,0.023282824,C1QTNF1
SF vs NC,-1.189504113,0.000450272,NEUROD1
SF vs NC,-1.188012182,0.002472567,RFX6
SF vs NC,-1.187401376,0.045701576,WDR86
